word,part_of_speech,meaning,example,example_meaning,definition,ID,pronunciation
prenatal,adjective,trước khi sinh,Prenatal ?,Dưỡng thai ?,Being or happening before birth.,13082,/priˈneɪtəl/
bento,noun,Bentō,The bento is ready.,Đã có cơm bento .,a Japanese takeaway lunch served in a box,13084,/ˈbɛntoʊ/
fiduciary,adjective,người được uỷ thác,"In most states this creates, under common law, an agency relationship with fiduciary obligations.","Trong hầu hết các tiểu bang theo thông luật, điều này tạo ra mối quan hệ đại lý với nghĩa vụ ủy thác .",(law) One who holds a thing in trust for another; a trustee.,13085,/fɪˈduʃiɛri/
stagnate,verb,đình trệ,"We are stagnating , we are stagnating in so many ways.","Chúng ta đang đình trệ , chúng ta trì trệ theo nhiều cách.","To cease motion, activity, or progress; to come to rest; to cease to advance or change; to become idle or cease to flow.",13086,/ˈstægneɪt/
narcotic,noun,thuốc mê,The treatments involve narcotics and escalating hydrotherapy.,Những điều trị này liên quan đến thuốc mê và gia tăng thủy liệu pháp.,Inducing sleep; causing narcosis.,13087,/nɑˈkɒtɪk/
clement,adjective,nhân từ,I think his name's Clement .,Tôi nhớ tên ổng là Clement .,Lenient or merciful; charitable.,13088,/ˈklɛmənt/
remunerate,verb,trả công,The remuneration is much cheaper.,Tiền công rẻ hơn bên đây nhiều.,To compensate; to pay.,13089,/rɪmˌjunəˈreɪt/
discretionary,adjective,tuỳ ý mình,The funding is discretionary .,Việc cấp vốn là một vấn đề linh hoạt .,"Available at one's discretion; able to be used as one chooses; left to or regulated by one's own discretion or judgment. e.g., discretionary income, discretionary powers.",13090,/dɪˈskrɛʃɪnɛri/
redound,verb,dội lại,"Erasmus: The advantages derived from peace diffuse themselves far and wide, and reach great numbers, while in war, if anything turns out happily, the advantage redounds only to a few, and those unworthy of reaping it.","khuyến đại ảnh hưởng xa rộng đến số lượng lớn con người, trong thời chiến, nếu sự kiện hoà bình nào xảy ra lợi ích về tay số ít, số ít không xứng đáng với lợi ích đó.","To result in, to contribute (to a specified situation or consequence).",13092,/rɪˈdaʊnd/
injudicious,adjective,tếu,Not an injudicious thing to do.,Rất có lý.,Showing poor judgement; not well judged.,13093,/ɪnˌʤuˈdɪʃəs/
litigate,verb,kiện,We were satisfied with the outcome of the litigation .,Chúng tôi hài lòng với kết quả của vụ kiện ấy?,"(intransitive, construed withon) To go to law.",13094,/ˌlɪdəˈgeɪt/
changeling,noun,người hay đổi tính,The Changeling .,Quỷ Biến Hình .,"(mythology) In British, Irish and Scandinavian mythology, an infant of a fairy, sprite or troll that the creature has secretly exchanged for a human infant.",13095,/ˈtʃeɪndʒlɪŋ/
parlous,adjective,cực kỳ,A bump as big as a young cockerel's stone; A parlous knock; and it cried bitterly.,"Một vết sưng lớn như một hòn đá gà trống non trẻ, gõ tinh ranh, và nó khóc như mưa.",Attended with peril; dangerous; risky.,13096,/ˈpɑrləs/
casement,noun,cửa sổ,To the far right (east) is a pair of small casements .,Dẽ cổ đỏ (danh pháp hai phần: Phalaropus lobatus) là loài dẽ nhỏ thuộc họ Dẽ .,a window sash that is hinged on the side and opens outward,13097,/ˈkeɪsmənt/
transfigure,verb,biến hình,Transfiguration,Biến Hình,"To transform the outward appearance of something; to convert into a different form, state or substance.",13098,/træntsˈfɪgjər/
eunuch,noun,hoạn quan,The eunuchs lived outside the Harem,Các hoạn quan sống phía ngoài Hậu cung.,A castrated human male.,13099,/ˈjunɪk/
corpus,noun,thể,Most people who have had their corpus collosum cut appear normal afterwards .,Hầu hết những người được phẫu thuật cắt thể chai đều có vẻ bình thường sau đó .,the body,13100,/ˈkɔpəs/
corpuscle,noun,hạt,Vater-Pacini corpuscles are present.,Tiểu thể Vater-Pacini có mặt.,A minute particle; an atom; a molecule.,13101,/ˌkɔrˈpʌsəl/
corset,noun,coóc-xê,Does this corset flatter me?,Chiếc coóc - xê này có khiến em đẹp hơn không?,"A woman's foundation garment, reinforced with stays, that supports the waistline, hips and bust.",13102,/ˈkɔsɪt/
psyche,noun,linh hồn,"It's bad, "" Amor and Psyche "" is, master.",""" Tình Yêu và Linh Hồn "" đó không tốt, ông chủ.","The human soul, mind, or spirit.",13103,/ˈsaɪki/
psychoanalysis,noun,phân tâm học,Psychoanalysis doesn't recognize the boo-boo as such.,Phân tâm học không nhận ra cái gì gọi là tào lao.,(psychoanalysis) a family of psychological theories and methods within the field of psychotherapy that work to find connections among patients' unconscious mental processes,13104,/saɪkəʊəˈnælɪsɪs/
psychotherapy,noun,tâm lý trị liệu,Psychotherapy may improve outcomes.,Tâm lý trị liệu có thể tăng tính hiệu quả.,The treatment of people diagnosed with mental and emotional disorders using dialogue and a variety of psychological techniques.,13105,/saɪkəʊˈθɛrəpi/
psychotic,adjective,loạn tinh thần,Except he's seeking them out now o because psychotics in a break always devolve.,Vì cơn loạn tinh thần luôn tích tụ lại.,"Of, related to, or suffering from psychosis.",13106,/saɪˈkɒtɪk/
psychokinesis,noun,Psychokinesis,"We're going to try an experiment in psychokinesis , right now.",Chúng ta sẽ thử một cuộc thí nghiệm siêu năng lực ngay bây giờ.,(parapsychology) The controlled movement of an inanimate object by the use of psychic powers. Abbreviated asPK.,13107,/ˌsaɪkəʊkɪˈniːsɪs/
ossicle,noun,xương nhỏ,The eardrum separates the outer ear from the middle ear and the ossicles .,Màng nhĩ tách tai ngoài khỏi tai giữa và các xương nhỏ trong tai .,"(anatomy) A small bone (or bony structure), especially one of the three of the middle ear.",13111,/ˈɑsəkəl/
osteoarthritis,noun,viêm xương khớp,The symptoms of osteoarthritis tend to develop slowly .,Các triệu chứng của viêm xương khớp mãn tính thường phát triển từ từ .,"(pathology) A form of arthritis, affecting mainly older people, caused by chronic degeneration of the cartilage and synovial membrane of the joints, leading to pain and stiffness.",13113,/ɒstiəʊɒθˈraɪtɪs/
osteosarcoma,noun,xương sarcoma,I'm 18 years old and I had a touch of osteosarcoma about a year-and-a-half ago.,Tôi 18 tuổi... và tôi bị u xương ác tính cách đây một năm rưỡi.,A type of cancer of the bone,13114,/ˈɑstioʊsɑrˌkoʊmə/
osteopathy,noun,thuật nắn xương,"The horses are fed a natural diet, dewormed with a mixture of garlic and clay, treated using a combination of homeopathy and osteopathy , and moved high in the mountains during the transhumance each year.","Những con ngựa được cho ăn một chế độ ăn uống tự nhiên, tẩy giun bằng hỗn hợp tỏi và đất sét, được điều trị bằng cách sử dụng một sự kết hợp của vi lượng đồng căn và xương , và di chuyển núi cao ở trong mỗi năm.",(medicine) The branch of therapy based on manipulation of bones and muscles,13116,/ˈɑstiˌɑpəθi/
osteology,noun,khoa xương,In 2001 a detailed description of the osteology of Chaohusaurus was published by Michael Maisch.,"Năm 2001, một mô tả chi tiết về cấu trúc xương của Chaohusaurus đã được xuất bản bởi Michael Maisch.",(anatomy) the scientific study of the morphology and pathology of bones,13117,/ˈɑstiˌɑlədʒi/
carnassial,noun,răng nhai thịt,"As the food of modern cats enters the mouth through the side while cutting with the carnassials , not the front incisors between the canines, the animals do not need to gape widely, so the canines of Smilodon would likewise not have been a hindrance when feeding.","Vì thức ăn của mèo hiện đại đi vào miệng ở bên đồng thời chúng bị cắt bởi răng nhai thịt , không phải là răng cửa phía trước giữa hai răng nanh, con vật không cần mở rộng hàm, vì vậy răng nanh của Smilodon không cản trở bữa ăn.","One of the teeth used by a carnivore for shearing flesh, being the last upper premolar and the first lower molar.",13118,/kɑrˈnæsiəl/
reincarnation,noun,sự đầu thai,"Clearly, this was no reincarnation .","Rõ ràng, đây không phải là một sự đầu thai .","A rebirth of a mental capacity, such as a soul, in a physical life form, such as a body",13120,/riɪnkɑˈneɪʃən/
disincarnate,adjective,vô hình,"A spirit guide, in western spiritualism, is an entity that remains as a disincarnate spirit to act as a guide or protector to a living incarnated human being.","Người hướng dẫn linh hồn, theo thuyết duy linh phương Tây, là một thực thể vẫn còn ở lại như một linh hồn ngừng đầu thai đóng vai trò là người dẫn dắt hoặc bảo hộ cho một người được hóa thân còn sống.",(Of a being) without a body,13121,/ˌdɪsɪnˈkɑrnɪt/
dermal,noun,da,My team analyzed Red Tornado's dermal covering.,Người của tôi đã phân tích da bọc của Red Tornado.,(anatomy) Of or pertaining to skin or integument.,13122,/ˈdɜrməl/
dermatologist,noun,thầy thuốc khoa da,* A dermatologist ( MD ),* Bác sĩ da liễu ( MD ),"A person who is skilled in, professes or practices dermatology.",13123,/dəməˈtɒlədʒɪst/
dermatitis,noun,viêm da,How do you solve a problem like dermatitis ?,Cậu sẽ xử lí 1 bệnh như viêm da thế nào?,(pathology) Inflammation of the skin,13124,/dəməˈtaɪtɪs/
endoderm,noun,nội bì,"In diploblastic organisms, such as Cnidaria and Ctenophora, the gastrula has only ectoderm and endoderm .","Trong các sinh vật lưỡng bội, chẳng hạn như Cnidaria và Ctenophora, dạ dày chỉ có ectoderm và endoderm .","One of the three tissue layers in the embryo of a metazoan animal. Through development, it will produce the digestive system of the adult.",13129,/ˌɛndəˈdʌrm/
pedicure,verb,Làm móng chân,"I could be, I don't know, getting a pedicure ?","Có thể, em không biết, đi làm móng chân chăng?",To apply such treatment to the feet,13131,/ˈpɛdɪkjəʊ/
bipedalism,noun,Đi đứng bằng hai chân,"Draught, bipedal .",Đồ ba hoa !,The habit of standing and walking on two feet; the state of being bipedal,13132,/baɪˈpɛdəlˌɪzəm/
quadruped,noun,có bốn chân,"I say to your face, quadruped .",Nói thẳng vào mắt anh đấy !,a mammal ambulating on all fours,13133,/ˌkwɑdrəˈpɛd/
antipode,noun,điểm đối chân,The concept of antipodes posed a dilemma for a few theologians.,Khái niệm về điểm đối chân đưa ra một vấn đề nan giải cho một số nhà thần học.,something directly opposite or diametrically opposed,13134,/ˌæntəˈpoʊd/
manufacture,verb,sản xuất,That factory manufactures toys.,Công ty đó sản xuất đồ chơi.,The action or process of making goods systematically or on a large scale.,13135,/mænjuˈfæktʃə/
neurasthenia,noun,suy nhược thần kinh,"Neurasthenia , dementia praecox, incurable homosexuality, epilepsy, melancholia.","Suy nhược thần kinh , mất trí sớm, rối loạn giới tính nan y, động kinh, trầm cảm.","(psychiatry) An ill-defined medical condition characterized by lassitude, fatigue, headache, and irritability, associated chiefly with emotional disturbance.",13138,/ˌˈnʊrəsˌθiniə/
gastric,noun,dạ dày,Beans have a notorious reputation for causing gastric distress .,Ai cũng biết đậu là nguyên nhân gây nhiều vấn đề cho dạ dày .,Of or relating to the stomach.,13143,/ˈgæstrɪk/
gastronome,noun,người sành ăn,Gastronomer .,Gasterosteidae .,a lover of good food; a connoisseur or gourmet,13144,/ˌgæstrəˈnoʊm/
gastritis,noun,viêm dạ dày,"This promotes inflammation , eventually leading to gastritis and cancer .","Điều này thúc đẩy viêm , cuối cùng dẫn đến viêm dạ dày và ung thư .","(pathology) Inflammation of the lining of the stomach, characterised by nausea, loss of appetite, and upper abdominal discomfort or pain.",13145,/gæsˈtraɪtɪs/
gastrectomy,noun,Phẫu thuật cắt bỏ dạ dày,The first successful gastrectomy was performed by Theodor Billroth in 1881 for cancer of the stomach.,Phẫu thuật cắt thành công đầu tiên được thực hiện bởi Theodor Billroth năm 1881 cho bệnh nhân ung thư dạ dày.,(surgery) Removal of the stomach.,13147,/gæˈstrɛktəmi/
gastroscope,noun,ống soi dạ dày,The patient may also have one or all of the following exams: Gastroscopic exam is the diagnostic method of choice.,Bệnh nhân có thể làm một hoặc tất cả những hình thức khám sau : Nội soi dạ dày là phương pháp chuẩn.,a form of endoscope used to view the inside of the stomach,13151,/ˌgæstrəˈskoʊp/
gastropod,noun,động vật có vỏ bụng,"The great majority of freshwater gastropods have a shell, with very few exceptions.","Phần lớn các loài chân bụng nước ngọt có vỏ, với rất ít ngoại lệ.",Any member of a class of mollusks (Gastropoda) that includes snails and slugs; univalve mollusk.,13152,/ˈɡæstɹəˌpɑd/
dental,noun,răng,One of the concerns with dental pulp as a source of stem cells is the number that can be harvested .,Một trong những vấn đề đối với tuỷ răng - nguồn tế bà gốc chính là lượng thu hoạch .,of or concerning the teeth: dental care,13154,/ˈdɛntəl/
dentistry,noun,nha khoa,Zinc phosphate is formed from zinc phosphate cement and used in dentistry .,Kẽm photphat được hình thành từ xi măng kẽm photphat và được sử dụng trong nha khoa .,"(uncountable) Operations performed on teeth by dentists, such as drilling teeth, filling cavities, and placing crowns and bridges.",13155,/ˈdɛntɪstri/
dentist,noun,nha sĩ,"Honey, Dad's taking Emily to the dentist .","Con yêu, bố sẽ đưa Emily đến chỗ nha sĩ .",A medical doctor who specializes in dentistry,13156,/ˈdɛntɪst/
periodontal,adjective,nha chu,Has he loosened the periodontal ligament yet?,Có rút tủy răng chưa?,"of, or relating to periodontics",13157,/piriɒˈdɒntəl/
dentifrice,noun,bột đánh răng,"On August 1, 1960, the ADA reported that ""Crest has been shown to be an effective anticavity (decay preventative) dentifrice that can be of significant value when used in a conscientiously applied program of oral hygiene and regular professional care.""","Vào ngày 1 tháng 8 năm 1960, ADA đã báo cáo rằng ""Crest đã được chứng minh là loại kem đánh răng có khả năng chống ăn mòn hiệu quả có thể có giá trị đáng kể khi được sử dụng trong chương trình vệ sinh răng miệng và chăm sóc chuyên nghiệp thường xuyên.""","toothpaste or any other substance, such as powder, for cleaning the teeth",13158,/ˈdɛntəfrəs/
dentition,noun,bộ răng,Dentition is apparently aglyphous.,Răng rõ ràng là aglyphous.,The set of natural teeth of an individual,13161,/dɛnˈtɪʃən/
denticle,noun,răng nhỏ,"It does it, it turns out, with the same denticles that you had on Speedo bathing suits, that broke all those records in the Olympics,","Nó làm được vậy, vì giống với các tấm vây như trên các bộ đồ bơi Speedo, thứ đã phá mọi kỷ lục tại các kỳ Olympics,",A small tooth,13163,/ˈdɛntəkəl/
osculation,noun,sự mật tiếp,This is sometimes called the osculating circle.,Điều này đôi khi được gọi là các osculating vòng tròn.,The action of kissing,13165,/ˌɑskyəˈleɪʃən/
oscillation,noun,sự dao động,"For us at Cambridge, it's as varied as the El Niño oscillation ,","Với chúng tôi, tại Cambridge, các đề tài thay đổi từ sự dao động của El Niño,",the act of oscillating or the state of being oscillated,13166,/ˌɑsəˈleɪʃən/
oscilloscope,noun,cái nghiệm dao động,And this is the oscilloscope of the Whirlwind electronic computer.,Và đây là máy hiện sóng của nó.,"An electronic measuring instrument that creates a visible two-dimensional graph, on a screen, of one or more continuously varying voltages or currents.",13167,/əˌsɪləˈskoʊp/
capitation,noun,thuế thân,Its capital is the city of Benevento.,Tỉnh lỵ là thành phố Benevento.,Performing a headcount; the counting of people.,13168,/ˈkæpəˌteɪʃən/
recapitulate,verb,tóm lại,"If ontogeny recapitulates phylogeny, then children","Nếu sự phát sinh cá thể tóm lại bằng cây sinh thái,",to repeat the evolutionary stages of an organism during its embryonic development,13169,/ˈrikəˌpɪtʃəˈleɪt/
chapter,noun,chương,Yesterday the students finished Chapter 1 so now they'll move on to Chapter 2.,"Hôm qua, học sinh đã học xong Chương 1 nên bây giờ học sẽ tiếp tục học Chương 2.",One of the main sections into which the text of a book is divided.,13170,/ˈtʃæptə/
caption,verb,lời chú thích,Highlight the pictures and captions in chapter 17.,Nhấn mạnh các hình và lời chú thích nơi chương 17.,The descriptive heading or title of a document or part therof,13171,/ˈkæpʃən/
cape,verb,Mũi đất,That dark headland in the distance is Cape Washington.,Mũi đất tối màu ở xa kia là Mũi Washington.,"(geography) A piece or point of land, extending beyond the adjacent coast into a sea or lake; a promontory; a headland.",13173,/keɪp/
fundamentalism,noun,Trào lưu chính thống,What is fundamental to true happiness?,Điều thiết yếu để có hạnh phúc thật là gì?,"(religion) The tendency to reduce a religion to its most fundamental tenets, based on strict interpretation of core texts.",13174,/ˈfʌndəˌmɛntlˈɪzəm/
negate,verb,phủ nhận,but their actions negate the authenticity of that belief.,nhưng hành động của họ lại phủ nhận điều họ nói.,"To deny the existence, evidence, or truth of; to contradict.",13175,/nəˈgeɪt/
midway,adjective,ở nửa đường,Japan defeated at the Battle of Midway (June 6).,Nhật bại trận tại trận chiến Midway (6/6).,halfway; equidistant from either end point; in the middle between two points,13177,/ˈmɪdweɪ/
quarto,noun,khổ bốn,Quarto is a board game for two players invented by Swiss mathematician Blaise Müller in 1991.,"Quarto là một trò chơi cờ bàn hai người chơi, do nhà toán học Thụy Sĩ Blaise Müller sáng chế ra vào năm 1991.","(paper) A size of paper (7.5""-10"" x 10""-12.5"")(190-254 x 254-312 mm). Formed by folding and cutting a standard large sheet of paper (15""-20"" x 20""-25"")(381-508 x 508-635 mm) twice to form 4 leaves (eight sides).",13178,/ˈkwɔtəʊ/
remit,verb,chuyển,Mrs Wong has stopped remitting .,bà Vương đã dừng chuyển .,"To give up, stop succumbing to (a negative emotion etc.).",13179,/ɹɪˈmɪt/
scurrilous,adjective,tục tĩu,"It seems to be the easiest thing in the world these days to make scurrilous accusations against Muslims, and in my case it directly impacts on my relief work and damages my reputation as an artist.","Dường như điều dễ dàng nhất trên thế giới trong những ngày này là đưa ra những cáo buộc chống lại người Hồi giáo, và trong trường hợp của tôi, nó ảnh hưởng trực tiếp đến công việc cứu trợ của tôi và làm thiệt hại danh tiếng một nghệ sĩ như tôi.",(of a person) given to vulgar verbal abuse; foul-mouthed,13180,/ˈskʌrələs/
extempore,adjective,ứng khẩu,I thought it best you extemporize on that.,Tôi nghĩ việc đó thì ông nên tự làm .,Something improvised.,13181,/ɛkˈstɛmpəri/
megaphone,noun,loa,"Even when you're standing in front of a megaphone , it's pretty much every direction.","Ngay cả khi bạn đứng đối diện trước loa , âm thanh vẫn tỏa ra hầu hết mọi hướng.",A portable funnel-shaped device that is used to amplify a person’s natural voice in a targeted direction.,13182,/ˈmɛgəfəʊn/
burble,verb,nói lẩm bẩm,"Burble , burble .","Burble , burble .","A bubbling, gurgling sound, as of a creek.",13183,/ˈbʌrbəl/
tabby,adjective,bướm tabi,"As it were then, Tabby .","Như lúc trước, Tabby .","(uncountable) A kind of waved silk, usually called watered silk, manufactured like taffeta, but thicker and stronger. The watering is given to it by calendering.",13184,/tæˈbi/
counseling,noun,sự cố vấn,"Thank you for your counsel , Grand Maester.","Cám ơn sự cố vấn của ông, Đại học sĩ.",assistance (especially from a professional) in the resolution of personal difficulties,13185,/ˈkaʊnsɛlɪŋ/
scansion,verb,sự bình thơ,"With similar lyrics and scansion (""And the Boddamers hung the Monkey, O"") it is plausible that Ned Corvan heard and adapted the song while travelling the Scottish Lowlands with Blind Willie Purvis.","Với ca từ và ngâm thơ giống y hệt (""And the Boddamers hung the Monkey, O""), rất có thể Ned Corvan đã nghe thấy và chuyển thể bài hát trong khi đi du ngoạn ở vùng đất thấp Scotland với Blind Willie Purvis.",The rhythm or meter of a line or verse.,13186,/ˈskænʃən/
semantics,noun,ngữ nghĩa học,There was just not enough information in semantics to predict the future organization of the mind.,Vì ngữ nghĩa học không cung cấp đủ thông tin để thấy trước trật tự của tư duy trong tương lai.,(linguistics) A branch of linguistics studying the meaning of words.,13187,/sɪˈmæntɪks/
archivist,noun,chuyên viên lưu trữ,"Poppelwell, was kind enough to have the college archivist bring the records.",Ông ấy tử tế đến mức đã yêu cầu chuyên viên lưu trữ văn khố của trường đại học này mang lại các hồ sơ.,"One who is in charge of, or performs the task of creating, collecting, cataloguing, and organising, archives.",13188,/ˈɑrkəvɪst/
bookish,adjective,sách vở,"Compared to you, I am kind of bookish .","So với anh, tôi chỉ là con mọt sách",Given to reading; fond of study; better acquainted with books than with people; learned from books.,13190,/ˈbʊkɪʃ/
compute,verb,tính toán,"So, let's try to compute all of this.",Bây giờ hãy thử tính toán tất cả những gì mà chúng ta thu được.,To reckon or calculate.,13191,/kəmˈpjut/
pacemaker,noun,máy điều hoà nhịp tim,"Now, your pacemaker is not a single cell.","Bây giờ, bộ máy điều hoà nhịp tim không phải là đơn bào.","One who sets the pace in a race, to guide the others.",13192,/ˈpeɪsmeɪkə/
separatism,noun,chủ nghĩa phân lập,"""Pro-Russian Gubarev, a symbol of east Ukraine separatism "".","Truy cập ngày 7 tháng 4 năm 2014. ^ a ă “Pro-Russian Gubarev, a symbol of east Ukraine separatism”.","A theory or doctrine which supports a state of separation between organizations, institutions, or other societal groups (e.g. between church and state) or between different political jurisdictions (e.g. a country and its former colony).",13193,/ˌsɛpərəˈtɪzəm/
sync,verb,đồng bộ,"Syncing services, such as backup, require a Google Account.","Dịch vụ đồng bộ hóa, chẳng hạn như sao lưu, yêu cầu có Tài khoản Google.",harmony,13194,/sɪŋk/
parenthetical,adjective,chen vào giữa,Let me parenthetically pause here and tell you,Để tôi mở ngoặc đơn ở đây và nói cái này,"using, containing, or within parentheses (like this)",13195,/ˌˈpɛrənˌθɛdəkəl/
palpate,adjective,sờ nắn,I palpated .,Tôi bắt mạch.,"to examine, or otherwise explore, (usually an area or organ of the human body) by feeling it",13196,/ˌpælˈpeɪt/
codify,verb,soạn thành luật lệ,"GAAP was codified , or rewritten , in 1953 .","GAAP được soạn thành luật lệ , hoặc được soạn lại , vào năm 1953 .","To reduce to a code, to arrange into a code.",13197,/ˈkoʊdəˌfaɪ/
morphology,noun,hình thái học,That's an important difference because it marks two completely different morphologies .,Đây là một khác biệt quan trọng vì nó nhấn mạnh 2 khác biệt về hình thái học .,"(uncountable) A scientific study of form and structure, usually without regard to function. Especially:",13199,/mɔˈfɒlədʒi/
emanation,noun,sự phát ra,From where does unholy conduct emanate ?,Hành vi không thánh thiện xuất phát từ đâu?,The act of flowing or proceeding from a fountain head or origin.,13201,/ˈɛməˌneɪʃən/
marmot,noun,con macmôt,You have the humor of a marmot .,Cậu có khiếu hài hước của một con ma - mút .,Any of several large ground-dwelling rodents of the genera Marmota and Cynomys in the squirrel family.,13203,/ˈmɑmət/
warehouse,verb,kho hàng,Looks like they're hiring security guards down at their warehouse .,Hình như họ đang tuyển bảo vệ cho kho hàng .,"A place for storing large amounts of products (wares). In logistics, a place where products go to from the manufacturer before going to the retailer.",13204,/ˈwɛəhaʊs/
laureate,adjective,được giải thưởng,Real Nobel laureates hand you the prize.,Những người được giải thưởng Nobel thật sẽ trao giải cho bạn.,"Crowned, or decked, with laurel.",13206,/ˈlɔriɪt/
retirement,noun,sự về hưu,"And best of all, it brought new spiritual growth, instead of spiritual retirement .”","Và hơn hết, nó mang đến sự tăng trưởng mới về phần thuộc linh, thay vì sự về hưu của phần thuộc linh.”","An act of retiring, or the state of being retired; withdrawal; seclusion; as, the retirement of an officer; the portion of one's life after retiring from one's career.",13207,/rɪˈtaɪəmənt/
wrinkle,verb,vết nhăn,"She'd wrinkled up the bed, but they weren't mashed down.","Cổ làm nhăn ra giường, nhưng những vết nhăn vẫn còn phồng lên.","A small furrow, ridge or crease in an otherwise smooth surface.",13208,/ˈrɪŋkəl/
traditional,adjective,cổ truyền,It is still frequently used in traditional medicines in the Arab world.,Nó vẫn còn thường được dùng trong các loại thuốc cổ truyền của các nước Ả-rập.,"Of or pertaining to tradition; derived from tradition; communicated from ancestors to descendants by word only; transmitted from age to age without writing; as, traditional opinions; traditional customs; traditional expositions of the Scriptures.",13209,/trəˈdɪʃənəl/
dengue,noun,sốt xuất huyết Dingue,What exactly is dengue ?,Nói chính xác thì bệnh này là gì?,"(pathology) An acute febrile disease of the tropics caused by a flavivirus, transmitted by mosquitoes, and characterized by high fever, rash, headache, and severe muscle and joint pain.",13210,/ˈdɛŋgi/
waltz,verb,Waltz,Have you seen the new work they've done to the Waltz Towers?,bạn đã bao giờ chứng kiến một công việc mới mà họ đã làm ở tháp Waltz ?,a ballroom dance in 3/4 time,13211,/wɒltz/
remark,verb,lời bình luận,Resist the temptation to make witty remarks just for the sake of making the audience laugh.,Hãy cưỡng lại khuynh hướng đưa ra lời bình luận dí dỏm cốt để làm cử tọa cười.,Act of pointing out or attentively noticing; notice or observation.,13212,/rəˈmɑk/
needle,noun,kim,It would attract the steel needle and separate it from the straw.,Nam châm sẽ thu hút cây kim và tách rời nó khỏi rơm rạ.,"A long, thin, sharp implement usually for piercing such as sewing, or knitting, acupuncture, tattooing, body piercing, medical injections etc.",13213,/ˈnidəl/
rusty,adjective,gỉ,Because my moves are a little rusty .,Vì hệ vận động của tớ bị gỉ một chút.,"Lacking recent experience, out of practice, especially with respect to a skill or activity.",13214,/ˈrʌsti/
handkerchief,noun,khăn tay,We'll put up our handkerchiefs if we have to.,"Dùng luôn cả khăn tay nữa, nếu cần.","A piece of cloth, usually square and often fine and elegant, carried for wiping the face, eyes, nose or hands.",13215,/ˈhæŋkətʃif/
tumbler,noun,cốc,The tumbler is stuck.,Lẫy khóa bị kẹt rồi.,One who tumbles; one who plays tricks by various motions of the body; an acrobat.,13216,/ˈtʌmblə/
turnover,adjective,Doanh thu,"The Group posted a consolidated turnover of €2,569.9 million in 2016.","Công ty đã đạt doanh thu hợp nhất đạt 2.569,9 triệu euro vào năm 2016.",The act of overturning something,13217,/ˈtʌnəʊvə/
aforementioned,adjective,đã kể trước đây,All the aforementioned remarks and campaign issues hurt McCain's standing with voters.,Tất cả những lời nói và vấn đề vận động tranh cử nói trên đã làm tổn hại địa vị của McCain đối với cử tri.,Previously mentioned.,13218,/ˈæfɔmɛntʃənd/
mezzanine,noun,gác lửng,"From a mezzanine , the visitors gazed down upon a maze of machinery.","Từ trên tầng gác lửng , khách tham quan nhìn xuống một hệ thống chằng chịt máy móc.",A balcony in an auditorium.,13219,/ˈmɛzənin/
collagen,noun,collagen,Collagen is what gives structure to our bones.,Collagen là chất tạo nên cấu trúc xương của chúng ta.,"(biochemistry) Any of more than 28 types of glycoprotein that forms elongated fibers, usually found in the extracellular matrix of connective tissue.",13220,/ˈkɒlədʒɪn/
laissez-faire,noun,laissez-faire,I have a laissez - faire attitude about the hats.,Tôi cũng chẳng để ý chuyện đó.,Alternative form of laissez faire.,13221,/lɛseɪˈfɛ/
germinal,adjective,mầm,And that enables us to develop germination protocols.,Điều đó cho phép chúng tôi phát triển một quy trình nảy mầm chung.,Pertaining or belonging to a germ.,13222,/ˈdʒʌrmənl/
carillon,noun,chuông chùm,It's carillon eve.,Đó là lễ Carillon ( lễ Chuông chùm ),"A set of bells, often in a bell tower, sometimes operated by means of a keyboard (manual or pedal), originating from the Low Countries. Modern carillons are sometimes also operated by computer.",13223,/ˈkɛrəˌlɑn/
daguerreotype,verb,phép chụp hình đage,The first daguerreotype of the Moon.,Bức hình đầu tiên chụp theo phương pháp Daguerre của Mặt Trăng.,An early type of photograph created by exposing a silver surface which has previously been exposed to either iodine or bromine vapour.,13224,/dəˌgɛrəˈtaɪp/
cowrie,noun,tiền vỏ ốc,The family offered food to sticks with cowrie shells tied onto them.,Thức ăn được cúng trước những thanh gỗ bọc vỏ sò sặc sỡ đủ màu.,A gastropod of the family Cypraeidae common to the Indian Ocean.,13225,/ˈkaʊri/
proximate,adjective,gần,Tracking phones like this is all about proximity .,Lần kiểu đó chỉ ở gần mới được.,Close or closest; adjacent.,13227,/ˈprɑksəmət/
affray,verb,ẩu đả,"Since arm from arm that voice doth us affray , Hunting thee hence with hunt's- up to the day.","Kể từ khi cánh tay từ cánh tay mà bằng giọng nói thuần phục chúng tôi ẩu đả , săn ngươi do đó hunt's cho đến ngày.",The act of suddenly disturbing any one; an assault or attack.,13228,/əˈfreɪ/
